,AGE,ATTENDANCE,GRADE,INCOME_QUINTILE,PREPARE_ATTENDANCE,PREPARE_GRADE,PREPARE_join_1years_ago,PREPARE_join_2years_ago,PREPARE_join_3years_ago,PREPARE_join_4years_ago,PREPARE_join_this_year,TOTAL_JOIN,TOTAL_OFF,UNI_DIST,join_1years_ago,join_2years_ago,join_3years_ago,join_4years_ago,join_this_year
8826,22.0,0.7,3.5,2.0,-0.1259565962307429,0.30439748715020004,-1.0502569960022845,-1.1025128498001142,0.0,0.0,-1.2007424328954883,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0
8827,22.0,0.8,2.5,2.0,-0.025956596230742802,-0.6956025128497999,-1.0502569960022845,-1.1025128498001142,0.0,0.0,-1.2007424328954883,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0
8828,22.0,0.8,4.5,4.0,-0.025956596230742802,1.3043974871502,-1.0502569960022845,-0.1025128498001142,0.0,0.0,-1.2007424328954883,1.0,2.0,59.5,0.0,1.0,0.0,0.0,0.0
8829,22.0,0.8,2.5,3.0,-0.025956596230742802,-0.6956025128497999,0.9497430039977156,-1.1025128498001142,0.0,0.0,-1.2007424328954883,2.0,1.0,7.666666666666667,2.0,0.0,0.0,0.0,0.0
8830,22.0,1.0,3.0000000000000004,5.0,0.1740434037692571,-0.19560251284979996,-1.0502569960022845,6.897487150199886,0.0,0.0,-1.2007424328954883,8.0,0.0,56.88888888888889,0.0,8.0,0.0,0.0,0.0
8831,22.0,0.8,3.5,5.0,-0.025956596230742802,0.30439748715020004,3.949743003997716,-1.1025128498001142,0.0,0.0,-1.2007424328954883,5.0,0.0,4.111111111111111,5.0,0.0,0.0,0.0,0.0
8832,22.0,0.7,3.0000000000000004,2.0,-0.1259565962307429,-0.19560251284979996,-1.0502569960022845,-1.1025128498001142,0.0,0.0,-1.2007424328954883,0.0,2.0,50.14285714285715,0.0,0.0,0.0,0.0,0.0
8833,22.0,0.7,3.0000000000000004,2.0,-0.1259565962307429,-0.19560251284979996,-1.0502569960022845,-1.1025128498001142,0.0,0.0,-1.2007424328954883,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0
8834,21.0,0.7,4.0,2.0,-0.1384397609311267,0.8873859704309529,3.091223655237496,0.0,0.0,0.0,8.027996225228058,13.0,0.0,7.222222222222222,4.0,0.0,0.0,0.0,8.999999999999998
8835,22.0,0.7,2.5,4.0,-0.1259565962307429,-0.6956025128497999,-1.0502569960022845,-1.1025128498001142,0.0,0.0,-1.2007424328954883,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
8836,26.0,0.7,3.0000000000000004,2.0,-0.09794670161641729,-0.43075578855395374,-0.35430318916557446,-0.6968108344255133,1.9078200087374397,3.323285277413717,-0.35342944517256425,8.0,1.0,6.625,0.0,0.0,3.0,5.0,0.0
8837,22.0,0.8,4.0,4.0,-0.025956596230742802,0.8043974871502001,-0.050256996002284476,1.897487150199886,0.0,0.0,-1.2007424328954883,4.0,1.0,0.7647058823529411,1.0,2.9999999999999996,0.0,0.0,0.0
8838,24.0,1.0,3.0000000000000004,5.0,0.1823595087458154,-0.3284331968738372,-0.02567919612951238,-0.2705619650167472,1.415705247487905,0.3382954968366208,0.9579456643096387,9.0,3.0000000000000004,124.55555555555556,1.0,1.0,3.0,2.0,2.0
8839,24.0,0.9000000000000001,3.0000000000000004,3.0,0.0823595087458154,-0.3284331968738372,-1.0256791961295124,-1.2705619650167472,-1.5842947525120952,0.3382954968366208,-0.042054335690361135,3.0,1.0,1.6666666666666667,0.0,0.0,0.0,2.0,1.0
8840,24.999999999999996,0.8,3.0000000000000004,4.0,-0.010699955416847604,-0.3776192599197503,0.24788230049041451,5.870263040570665,2.5679893000445837,3.3865358894337936,9.324119482835489,26.999999999999996,1.0,4.0,1.0,7.0,4.0,5.0,10.0
