,AGE,ATTENDANCE,GRADE,INCOME_QUINTILE,PREPARE_ATTENDANCE,PREPARE_GRADE,PREPARE_join_1years_ago,PREPARE_join_2years_ago,PREPARE_join_3years_ago,PREPARE_join_4years_ago,PREPARE_join_this_year,TOTAL_JOIN,TOTAL_OFF,UNI_DIST,join_1years_ago,join_2years_ago,join_3years_ago,join_4years_ago,join_this_year,ADMISSION_수시,ADMISSION_정시,DOUBLE_MAJOR_N,DOUBLE_MAJOR_Y,OCCP_GRP_1_1.인문사회계열,OCCP_GRP_1_2.자연과학계열,OCCP_GRP_1_3.공학계열,OCCP_GRP_1_4.예체능계열,off_1years_ago_N,off_1years_ago_Y,off_2years_ago_N,off_2years_ago_Y,off_3years_ago_N,off_3years_ago_Y,off_4years_ago_N,off_4years_ago_Y,off_this_year_N,off_this_year_Y
509,0.666666666666667,0.3333333333333335,0.40000000000000013,0.5,0.354777480398772,0.3784619091454549,0.03322766500003478,0.0,0.12310679158287491,0.000319264408384666,0.020689886435073284,0.03296703296703297,0.4,0.0032106693010619906,0.02857142857142857,0.0,0.125,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
8206,0.16666666666666696,0.666666666666667,0.0,0.75,0.5873834855915373,0.1092280412223115,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.03681159930173839,0.01098901098901099,0.4,0.08989874042973574,0.0,0.0,0.0,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
4100,0.16666666666666696,0.3333333333333335,0.19999999999999996,1.0,0.29369174279576893,0.2808937187662227,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.09707683705958003,0.03296703296703297,0.4,0.0016053346505309953,0.0,0.0,0.0,0.0,0.09090909090909091,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
11720,0.3333333333333335,1.0,0.19999999999999996,1.0,0.9177372523519293,0.25240117034475873,0.14634850218607887,0.07196548767387917,0.048759360975837225,0.035663391643666935,0.04843166133714249,0.06043956043956045,0.4,0.06100271672017782,0.14285714285714285,0.06818181818181818,0.0,0.0,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
568,0.5,0.3333333333333335,0.40000000000000013,1.0,0.33184781628849624,0.4059496565001103,0.3414605991255685,0.11407496626220484,0.031215640676974757,0.035663391643666935,0.1355967849551437,0.14835164835164835,0.6000000000000001,0.005707856535221317,0.34285714285714286,0.11363636363636365,0.03125,0.0,0.13636363636363635,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
1617,0.5,0.3333333333333335,0.6000000000000001,1.0,0.33184781628849624,0.5776153340440215,0.0284550499271307,0.023210860237815597,0.061992338572693484,0.035663391643666935,0.06026523775784165,0.04395604395604396,0.6000000000000001,0.03304313822342965,0.02857142857142857,0.022727272727272728,0.0625,0.0,0.06060606060606061,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
13695,0.666666666666667,0.3333333333333335,0.6000000000000001,1.0,0.354777480398772,0.5501275866893661,0.004772615072904076,0.11358013253048654,0.15388348947859365,0.04285887017824064,0.005623576995612872,0.06593406593406594,0.4,0.009632007903185972,0.0,0.11363636363636365,0.15625,0.0425531914893617,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
6580,0.3333333333333335,1.0,0.19999999999999996,1.0,0.9177372523519293,0.25240117034475873,0.032528302477556024,0.04924946116778185,0.048759360975837225,0.035663391643666935,0.25935999348958827,0.1098901098901099,0.4,0.00353173623116819,0.02857142857142857,0.045454545454545456,0.0,0.0,0.25757575757575757,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
3742,0.3333333333333335,1.0,0.40000000000000013,0.5,0.9177372523519293,0.42406684788867,0.032528302477556024,0.04924946116778185,0.048759360975837225,0.035663391643666935,0.018299042458221663,0.02197802197802198,0.4,0.04449070317185901,0.02857142857142857,0.045454545454545456,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
7735,0.666666666666667,0.3333333333333335,0.19999999999999996,0.75,0.354777480398772,0.20679623160154365,0.03322766500003478,0.0,0.03077669789571873,0.000319264408384666,0.005623576995612872,0.01098901098901099,0.4,0.008829340577920473,0.02857142857142857,0.0,0.03125,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
14692,1.0,0.0,1.0,0.75,0.11892477161269438,0.8583283877195563,0.023876652870940582,0.013033345890413769,0.015145667337000693,0.02126980288492799,0.015998612683868547,0.005494505494505495,0.4,0.20066683131637442,0.0,0.0,0.0,0.02127659574468085,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
4560,0.5,0.0,0.6000000000000001,0.75,0.038156073492727316,0.5776153340440215,0.0284550499271307,0.023210860237815597,0.061992338572693484,0.035663391643666935,0.030132618878920825,0.03296703296703297,0.4,0.005803902198073599,0.02857142857142857,0.022727272727272728,0.0625,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
14746,0.833333333333333,0.0,0.0,0.25,0.08146951826304272,0.018243436380643963,0.0410118710444954,0.0031989845596449434,0.03546349817559138,0.0013453280500180798,0.01114046505415214,0.01098901098901099,0.4,0.2680908866386762,0.02857142857142857,0.0,0.03125,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
10129,0.3333333333333335,0.666666666666667,0.40000000000000013,1.0,0.6240455095561607,0.42406684788867,0.06098335240468673,0.0038174081555872354,0.048759360975837225,0.035663391643666935,0.018299042458221663,0.016483516483516484,0.4,0.0,0.05714285714285714,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
8807,0.666666666666667,0.0,0.40000000000000013,0.5,0.061085737603003065,0.3784619091454549,0.03322766500003478,0.0,0.27699028106146856,0.40444551922201644,0.005623576995612872,0.15934065934065936,0.4,0.0605598657821003,0.02857142857142857,0.0,0.28125,0.40425531914893614,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
1526,0.5,0.3333333333333335,0.6000000000000001,1.0,0.33184781628849624,0.5776153340440215,0.0,0.023210860237815597,0.061992338572693484,0.035663391643666935,0.015066309439460412,0.02197802197802198,0.6000000000000001,0.054260311187947635,0.0,0.022727272727272728,0.0625,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
4096,0.16666666666666696,0.3333333333333335,0.0,1.0,0.29369174279576893,0.1092280412223115,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.03681159930173839,0.01098901098901099,0.4,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
19590,0.16666666666666696,0.3333333333333335,0.8,0.25,0.29369174279576893,0.7958907513979565,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.006678980422817565,0.0,0.4,0.032106693010619906,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
19536,0.16666666666666696,0.666666666666667,0.19999999999999996,0.75,0.5873834855915373,0.2808937187662227,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.021745289862277976,0.005494505494505495,0.4,0.016053346505309953,0.0,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
19615,0.5,0.3333333333333335,0.0,0.25,0.33184781628849624,0.06261830141228769,0.0284550499271307,0.09135893975610752,0.0004389427812560229,0.035663391643666935,0.030132618878920825,0.038461538461538464,0.4,0.03279469357513319,0.02857142857142857,0.09090909090909091,0.0,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
18536,0.666666666666667,0.666666666666667,0.40000000000000013,0.5,0.6484692231945404,0.3784619091454549,0.03322766500003478,0.0,0.06155339579143746,0.000319264408384666,0.005623576995612872,0.016483516483516484,0.4,0.022474685107433934,0.02857142857142857,0.0,0.0625,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
6055,1.0,0.3333333333333335,0.6000000000000001,1.0,0.41261651440846303,0.5149970326317338,0.023876652870940582,0.05846539890260839,0.07669906312843816,0.02126980288492799,0.015998612683868547,0.027472527472527476,0.6000000000000001,0.008347740182761175,0.0,0.045454545454545456,0.0625,0.02127659574468085,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1
19465,0.5,0.3333333333333335,0.8,1.0,0.33184781628849624,0.7492810115879327,0.0,0.023210860237815597,0.061992338572693484,0.035663391643666935,0.030132618878920825,0.027472527472527476,0.4,0.015518234955132954,0.0,0.022727272727272728,0.0625,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
5265,0.3333333333333335,0.3333333333333335,0.6000000000000001,1.0,0.3303537667603923,0.5957325254325813,0.14634850218607887,0.0038174081555872354,0.048759360975837225,0.035663391643666935,0.003232733018761251,0.027472527472527476,0.4,0.027290689059026922,0.14285714285714285,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
3517,0.666666666666667,0.3333333333333335,0.6000000000000001,0.25,0.354777480398772,0.5501275866893661,0.06168271492716548,0.0,0.0,0.000319264408384666,0.005623576995612872,0.01098901098901099,0.4,0.28574956779451716,0.05714285714285714,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
15612,0.666666666666667,0.666666666666667,0.19999999999999996,1.0,0.6484692231945404,0.20679623160154365,0.06168271492716548,0.0,0.0,0.000319264408384666,0.005623576995612872,0.01098901098901099,0.4,0.0032106693010619906,0.05714285714285714,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
6615,0.3333333333333335,0.666666666666667,0.19999999999999996,1.0,0.6240455095561607,0.25240117034475873,0.004073252550425319,0.0038174081555872354,0.048759360975837225,0.035663391643666935,0.06349797077660291,0.02197802197802198,0.4,0.0016053346505309953,0.0,0.0,0.0,0.0,0.06060606060606061,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
5181,0.3333333333333335,1.0,1.0,1.0,0.9177372523519293,0.9390638805204038,0.004073252550425319,0.07196548767387917,0.048759360975837225,0.035663391643666935,0.003232733018761251,0.016483516483516484,0.4,0.2452951346011361,0.0,0.06818181818181818,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
9451,0.3333333333333335,0.0,0.19999999999999996,0.25,0.03666202396462337,0.25240117034475873,0.004073252550425319,0.0038174081555872354,0.048759360975837225,0.035663391643666935,0.04843166133714249,0.016483516483516484,0.4,0.1666337367251173,0.0,0.0,0.0,0.0,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
